EMISORA,SERIE,HORA,ÚLTIMO,PPP,ANTERIOR,MÁXIMO,MÍNIMO,VOLUMEN,IMPORTE,OPS.,VAR PUNTOS,VAR %
GAP,B,3:10,201.08,201.2,205.4,202.66,200.55,"446,439","89,805,010","3,997",-4.2,-2.04
GBM,O,3:10,9,0,9,0,0,32,281.62,3,0,0
GCARSO,A1,3:10,67.91,68.33,67.29,68.5,66.11,"103,949","7,057,081.19","1,094",1.04,1.55
GCC,*,3:10,102.91,102.71,102.8,102.91,102.05,"101,672","10,442,137.73",562,-0.09,-0.09
GENTERA,*,3:10,19,18.99,18.89,19.68,18.9,"3,119,625","59,397,121.25","8,766",0.1,0.53
GFAMSA,A,3:10,4.65,0,4.69,4.68,4.65,"50,078","232,882.50",34,-0.04,-0.85
GFINBUR,O,3:10,23.87,24.04,23.7,24.16,23.62,"1,122,496","26,829,905.03","7,194",0.34,1.43
GFNORTE,O,3:10,103.39,103.09,99.1,103.41,99.3,"9,620,420","973,234,061.93","16,365",3.99,4.03
GICSA,B,3:10,5.42,5.34,5.32,5.6,5.12,"3,129,302","16,483,307.44",576,0.02,0.38
GISSA,A,3:10,20.32,0,20.35,20.32,20.32,476,"9,570.45",19,-0.03,-0.15
GMD,*,3:10,17,0,17,0,0,4,68,1,0,0
GMEXICO,B,3:10,52.98,53.07,52.38,53.32,52.46,"3,449,421","182,948,289.53","12,472",0.69,1.32
GMXT,*,3:10,24.8,24.94,25.35,25.25,24.8,"165,700","4,134,882.02",352,-0.41,-1.62
GRUMA,B,3:10,201.9,202.33,201.87,203.43,200.66,"136,001","27,488,655.16","6,934",0.46,0.23
GSANBOR,B-1,3:10,23.1,0,23.1,0,0,14,325.36,1,0,0
HCITY,*,3:10,16.21,16.11,16.19,16.35,16.02,"21,599","349,387.06",210,-0.08,-0.49
HERDEZ,*,3:10,38.25,38.3,38.13,38.71,38.2,"366,859","14,115,389.75","1,371",0.17,0.45
HOMEX,*,3:10,0.07,0.07,0.07,0.07,0.07,"4,503,520","329,033.06",138,0,0
HOTEL,*,3:10,5.57,5.53,5.55,5.75,5.5,"177,009","982,747.71",323,-0.02,-0.36
ICH,B,3:10,84.7,84.43,84.01,84.7,84.2,"15,078","1,269,750.40",23,0.42,0.5
IENOVA,*,3:10,82.11,82.23,82.48,82.68,82.01,"742,576","61,010,356.63","4,435",-0.25,-0.3
INVEX,A,3:10,69,0,69,69,69,180,"12,420",1,0,0
IVVPESO,ISHRS,3:10,52.8,0,52.8,0,0,93,"4,964.95",12,0,0
KIMBER,A,3:10,38.37,38.48,37.95,38.78,37.93,"2,139,391","82,094,601.69","10,262",0.53,1.4
KOF,UBL,3:10,113.39,113.13,112.9,114.19,112.93,"344,837","39,131,263.53","3,552",0.23,0.2
